,,POTATO,CABBAGE,BEETROOT,CARROT
Sardyńska 1,30,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,30,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,30,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,30,42.0,20.0,12.0,30.0
Złota 44,31,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,31,41.0,19.0,12.0,29.0
Mińska 25A,31,41.0,19.0,13.0,30.0
Częstochowska 4/6,31,42.0,20.0,11.0,30.0
Ostrobramska 71,31,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,31,42.0,20.0,11.0,30.0
Sardyńska 1,31,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,31,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,31,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,31,42.0,20.0,12.0,30.0
Złota 44,32,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,32,41.0,19.0,12.0,29.0
Mińska 25A,32,41.0,19.0,13.0,30.0
Częstochowska 4/6,32,42.0,20.0,11.0,30.0
Ostrobramska 71,32,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,32,42.0,20.0,11.0,30.0
Sardyńska 1,32,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,32,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,32,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,32,42.0,20.0,12.0,30.0
Złota 44,33,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,33,41.0,19.0,12.0,29.0
Mińska 25A,33,41.0,19.0,13.0,30.0
Częstochowska 4/6,33,42.0,20.0,11.0,30.0
Ostrobramska 71,33,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,33,42.0,20.0,11.0,30.0
Sardyńska 1,33,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,33,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,33,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,33,42.0,20.0,12.0,30.0
Złota 44,34,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,34,41.0,19.0,12.0,29.0
Mińska 25A,34,41.0,19.0,13.0,30.0
Częstochowska 4/6,34,42.0,20.0,11.0,30.0
